name,dataset,executions,feats,selected,jaccard,hamming,dice,kuncheva,spearman,canberra,pearson
Autoencoder,Prostate_GSE6919_U95C,30,12646,5,0.001277139208173691,0.9987228607918264,0.0022988505747126436,0.0019042215305605642,0.00185254565562905,9.980952514546312,-0.9951407424399389
Autoencoder,Prostate_GSE6919_U95C,30,12646,10,0.002177858439201452,0.9978221415607985,0.00413793103448276,0.0033498160701225833,0.0032973663679243662,19.91788992671667,-0.9924794130549969
Autoencoder,Prostate_GSE6919_U95C,30,12646,20,0.0028976065273705926,0.9971023934726295,0.005632183908045978,0.004057072525039555,0.004025966382057083,39.754604829888606,-0.9898702005376195
Autoencoder,Prostate_GSE6919_U95C,30,12646,50,0.007059331828261795,0.9929406681717381,0.013885057471264365,0.00997066027164252,0.009923935276366043,98.49426050240635,-0.9803424944383216
Autoencoder,Prostate_GSE6919_U95C,30,12646,100,0.011592386392371319,0.9884076136076286,0.02280459770114943,0.01501569763500204,0.014971438890516988,194.80213632397948,-0.969773764571004
Autoencoder,Prostate_GSE6919_U95C,30,12646,200,0.01999013942008715,0.9800098605799128,0.03909195402298851,0.023650719152716746,0.023626606941414986,381.50993978404944,-0.9514395871037422
ChannelAttention,Prostate_GSE6919_U95C,30,12646,5,0.001277139208173691,0.9987228607918264,0.0022988505747126436,0.0019042215305605644,0.0018612571834878478,9.980177896536722,-0.9971035047160616
ChannelAttention,Prostate_GSE6919_U95C,30,12646,10,0.003401223364925724,0.9965987766350743,0.0064367816091954015,0.005650485931456556,0.005598159693260038,19.886662311984544,-0.9929266468345577
ChannelAttention,Prostate_GSE6919_U95C,30,12646,20,0.004039275908604402,0.9959607240913956,0.00781609195402299,0.006244439953316547,0.006193149078955728,39.69186207186724,-0.9911357713146991
ChannelAttention,Prostate_GSE6919_U95C,30,12646,50,0.008656243222578392,0.9913437567774216,0.016827586206896554,0.012924869416673052,0.012872004067899113,98.30002340547688,-0.9812420863770808
ChannelAttention,Prostate_GSE6919_U95C,30,12646,100,0.012306593089667691,0.9876934069103322,0.02395402298850575,0.01617428460964799,0.01614995539943711,194.71389078301326,-0.9729718088608714
ChannelAttention,Prostate_GSE6919_U95C,30,12646,200,0.018798563102732622,0.9812014368972675,0.03639080459770115,0.020906163823118166,0.020908333593715495,382.4752766514642,-0.9586431518551778
IntegratedGradients,Prostate_GSE6919_U95C,15,12646,5,0.004232804232804232,0.9957671957671956,0.007619047619047619,0.007226522916737299,0.007191297289728582,9.946095951431563,-0.9846979806731887
IntegratedGradients,Prostate_GSE6919_U95C,15,12646,10,0.005012531328320802,0.9949874686716792,0.009523809523809525,0.008739956888105036,0.008708118288312632,19.843654651530915,-0.9808631878026566
IntegratedGradients,Prostate_GSE6919_U95C,15,12646,20,0.005642310905468801,0.9943576890945311,0.010952380952380953,0.009385696936782,0.009344953543051085,39.59795175547814,-0.97799232336146
IntegratedGradients,Prostate_GSE6919_U95C,15,12646,50,0.01286357269060714,0.9871364273093928,0.025142857142857144,0.021273147938120948,0.021237527699185108,97.66233581849659,-0.9583547031412343
IntegratedGradients,Prostate_GSE6919_U95C,15,12646,100,0.017287230861888485,0.9827127691381113,0.03380952380952381,0.026108340355112235,0.02609247415073513,193.2021099210487,-0.9429351790364193
IntegratedGradients,Prostate_GSE6919_U95C,15,12646,200,0.026486549934216872,0.9735134500657833,0.05147619047619048,0.03623396310155108,0.03625456555430045,377.8384792200555,-0.9179571893927411
KruskallWallisFilter,Prostate_GSE6919_U95C,10,12646,5,0.03580246913580246,0.9641975308641975,0.06222222222222223,0.061851295168279585,0.06182459122938436,9.54759724381715,-0.9307485905390092
KruskallWallisFilter,Prostate_GSE6919_U95C,10,12646,10,0.03757978825058288,0.962420211749417,0.0688888888888889,0.06815201716436282,0.0681114390440277,18.994604092738978,-0.9133850464760711
KruskallWallisFilter,Prostate_GSE6919_U95C,10,12646,20,0.07127692679808263,0.9287230732019173,0.13,0.1286218913353398,0.1285757740854936,36.00356198889503,-0.8493743826249649
