name,selected,SupportVectorMachine_macro_f1,DecisionTree_macro_f1,RandomForest_macro_f1,NaiveBayes_macro_f1,ZeroR_macro_f1
SVMRFE,20,0.8781412811517421,0.6678228190407874,0.793718436624942,0.8068882888085243,0.33899159663865547
SVMRFE,50,0.9037764492236542,0.6369987608797677,0.8325578189842109,0.846048428887592,0.33899159663865547
SVMRFE,100,0.9072594896658316,0.6355140964577055,0.8199180781563913,0.8556706431001952,0.33899159663865547
SVMRFE,200,0.9035313765091469,0.6383490328274218,0.8144385091256618,0.846847068787354,0.33899159663865547
Sensitivity,5,0.654272694235968,0.5734755679971505,0.628275419135477,0.6562096266905658,0.33899159663865547
Sensitivity,10,0.6971803136814213,0.6069893120080772,0.6771902630227388,0.6939430653774542,0.33899159663865547
Sensitivity,20,0.737195624249982,0.6211214283578319,0.7171378701253746,0.7295395719056413,0.33899159663865547
Sensitivity,50,0.772565873290086,0.6265468104227833,0.7405642264860526,0.7597448472877013,0.33899159663865547
Sensitivity,100,0.7829636709505509,0.6096047663663221,0.7439487920619637,0.7690049420280576,0.33899159663865547
Sensitivity,200,0.7849752505399834,0.5928893558072945,0.741252299873982,0.7683381581787838,0.33899159663865547
VAE,5,0.5107081537457991,0.4950731885843809,0.5161640503768931,0.5222244861404961,0.33899159663865547
VAE,10,0.5459178661879429,0.5183345566867691,0.5366991053023296,0.5476650758809243,0.33899159663865547
VAE,20,0.5563679638193909,0.5159454957367596,0.558547228176773,0.5542003450283409,0.33899159663865547
VAE,50,0.5934195960638682,0.5357623757682944,0.5947118034169365,0.5952689409531614,0.33899159663865547
VAE,100,0.6157516334112558,0.5448962520220371,0.611689274043702,0.6227892821915733,0.33899159663865547
VAE,200,0.6208871170347694,0.5423444445094855,0.6285427815869823,0.6371966799810709,0.33899159663865547
