name,dataset,executions,feats,selected,jaccard,hamming,dice,kuncheva,spearman,canberra,pearson
Autoencoder,Prostate_GSE6919_U95C,30,12646,5,0.001277139208173691,0.9987228607918264,0.0022988505747126436,0.0019042215305605647,0.0018666025629612518,9.98029777390594,-0.9932170955018789
Autoencoder,Prostate_GSE6919_U95C,30,12646,10,0.0018148820326678765,0.9981851179673321,0.0034482758620689655,0.002659615111722391,0.002615007746107005,19.93137972554591,-0.9915196851945058
Autoencoder,Prostate_GSE6919_U95C,30,12646,20,0.0034312128685994384,0.9965687871314006,0.006666666666666667,0.00509319393843392,0.005040901092605502,39.7291458821137,-0.9876585883340544
Autoencoder,Prostate_GSE6919_U95C,30,12646,50,0.00672467606726913,0.9932753239327308,0.013241379310344829,0.00932442702116709,0.00928894244737072,98.57356706849407,-0.9799932984401322
Autoencoder,Prostate_GSE6919_U95C,30,12646,100,0.011567242723949512,0.9884327572760504,0.022758620689655173,0.014969354156016204,0.014929924046245123,194.85995115093291,-0.9690983245813594
Autoencoder,Prostate_GSE6919_U95C,30,12646,200,0.019069222109413527,0.9809307778905865,0.037321839080459766,0.02185215948991598,0.021851488949579147,382.11001402105086,-0.9527170167859953
ChannelAttention,Prostate_GSE6919_U95C,30,12646,5,0.0033205619412515963,0.9966794380587484,0.005977011494252875,0.005583837303719788,0.005539064846964666,9.948844480553548,-0.9934652343744461
ChannelAttention,Prostate_GSE6919_U95C,30,12646,10,0.004382604019627613,0.9956173959803724,0.008275862068965517,0.007491021820523736,0.007455541237969069,19.853665228824816,-0.990764081651483
ChannelAttention,Prostate_GSE6919_U95C,30,12646,20,0.006251511877646178,0.9937484881223538,0.012068965517241381,0.010504050208382264,0.010460572357237435,39.56119805531851,-0.9866105512424356
ChannelAttention,Prostate_GSE6919_U95C,30,12646,50,0.01292536709048513,0.9870746329095149,0.025011494252873565,0.021141263601289227,0.021086139217183438,97.6580534254476,-0.9726262728347002
ChannelAttention,Prostate_GSE6919_U95C,30,12646,100,0.020029221169738792,0.9799707788302612,0.038689655172413795,0.031027369624609023,0.0309969048256622,192.42364562402798,-0.9572365926448874
ChannelAttention,Prostate_GSE6919_U95C,30,12646,200,0.030987634721578793,0.9690123652784213,0.0591264367816092,0.04400714442714366,0.04403333288723091,375.4451387999739,-0.9342259534921271
IntegratedGradients,Prostate_GSE6919_U95C,30,12646,5,0.005619412515964241,0.9943805874840357,0.010114942528735633,0.009723405048523917,0.009670330145082645,9.916521222494044,-0.9804125790663616
IntegratedGradients,Prostate_GSE6919_U95C,30,12646,10,0.008267795926598103,0.991732204073402,0.01563218390804598,0.014853165376792451,0.014788769239931483,19.74266002347997,-0.9732013509971545
IntegratedGradients,Prostate_GSE6919_U95C,30,12646,20,0.010206772457226178,0.9897932275427739,0.019770114942528734,0.018217398508095863,0.018151069898550226,39.33096168904228,-0.9653411059037954
IntegratedGradients,Prostate_GSE6919_U95C,30,12646,50,0.013871671539862332,0.9861283284601376,0.027080459770114945,0.02321844190638882,0.02317819652702698,97.54574812304523,-0.952660724085007
IntegratedGradients,Prostate_GSE6919_U95C,30,12646,100,0.01965726300516839,0.9803427369948315,0.038321839080459774,0.030656621792722324,0.03064139174395705,192.5674946437472,-0.9353442489714708
IntegratedGradients,Prostate_GSE6919_U95C,30,12646,200,0.029200672037664698,0.9707993279623354,0.05655172413793104,0.04139105764488798,0.041443842782659404,376.38550209419606,-0.908333783565382
KruskallWallisFilter,Prostate_GSE6919_U95C,10,12646,5,0.06790123456790123,0.9320987654320986,0.11555555555555558,0.11520572387908831,0.1151857964046416,9.096278608473039,-0.8743363031883156
KruskallWallisFilter,Prostate_GSE6919_U95C,10,12646,10,0.08079730917708215,0.9192026908229176,0.14222222222222222,0.14154338574091657,0.14152706851000676,17.748345054409924,-0.8424084706225884
KruskallWallisFilter,Prostate_GSE6919_U95C,10,12646,20,0.10886945309196382,0.891130546908036,0.19111111111111115,0.18982980445993275,0.18982828068161853,33.88598796080221,-0.7825496037785721
KruskallWallisFilter,Prostate_GSE6919_U95C,10,12646,50,0.16592594773768907,0.8340740522623106,0.27955555555555556,0.27669574115239404,0.27684891505263176,77.66473491771735,-0.6506877465409231
KruskallWallisFilter,Prostate_GSE6919_U95C,10,12646,100,0.20654798733297813,0.7934520126670216,0.33866666666666667,0.33339539826770825,0.3338370414060949,145.40844486263845,-0.5390357918671547
KruskallWallisFilter,Prostate_GSE6919_U95C,10,12646,200,0.25108775503172764,0.7489122449682724,0.39755555555555555,0.3878746228150053,0.38910154725563173,270.001043528336,-0.3951139070617859
Lasso,Prostate_GSE6919_U95C,10,12646,5,0.027160493827160497,0.9728395061728397,0.04888888888888889,0.0485126879905774,0.04847300055285833,9.615880519955398,-0.9380638187856829
Lasso,Prostate_GSE6919_U95C,10,12646,10,0.043580629132744714,0.956419370867255,0.08000000000000002,0.07927192149414371,0.0792542794187808,18.7222740331335,-0.8860514570310118
Lasso,Prostate_GSE6919_U95C,10,12646,20,0.05734996612189595,0.9426500338781038,0.10666666666666666,0.10525159723322243,0.10525191975858499,36.635720202834776,-0.8301480262986423
Lasso,Prostate_GSE6919_U95C,10,12646,50,0.10745821310554522,0.8925417868944546,0.18977777777777777,0.18656158921703536,0.18639089639616452,83.01099098983617,-0.7595591715282244
Lasso,Prostate_GSE6919_U95C,10,12646,100,0.3851475331403395,0.6148524668596606,0.5519999999999999,0.5484291407619959,0.5473374597182981,97.2236788991018,-0.5836422677800504
