name,dataset,executions,feats,selected,jaccard,hamming,dice,kuncheva,spearman,canberra,pearson
IntegratedGradients,Prostate_GSE6919_U95C,30,12646,10,0.005928614640048396,0.9940713853599517,0.011264367816091955,0.010481892640257902,0.010439579839650296,19.808752004874407,-0.9797254976873239
IntegratedGradients,Prostate_GSE6919_U95C,30,12646,20,0.007657133609946676,0.9923428663900533,0.014827586206896554,0.01326704064410057,0.013215117693870994,39.47263576130902,-0.9728441763364051
IntegratedGradients,Prostate_GSE6919_U95C,30,12646,50,0.014510963908591749,0.9854890360914083,0.02827586206896552,0.024418589371557473,0.024369029140905142,97.41432026765575,-0.9530112458252745
IntegratedGradients,Prostate_GSE6919_U95C,30,12646,100,0.021044099416526112,0.9789559005834739,0.04094252873563218,0.03329820009491508,0.03328162386769288,192.08364270119804,-0.9334944970680259
IntegratedGradients,Prostate_GSE6919_U95C,30,12646,200,0.031587038956214154,0.9684129610437858,0.06089655172413794,0.04580570408994442,0.0458759451602538,375.077362144134,-0.903703022768297
KruskallWallisFilter,Prostate_GSE6919_U95C,10,12646,5,0.28112874779541447,0.7188712522045857,0.4133333333333332,0.4131012841811038,0.4130742244724265,6.742951106499708,-0.5873616016634361
KruskallWallisFilter,Prostate_GSE6919_U95C,10,12646,10,0.33458751621806315,0.6654124837819368,0.48444444444444457,0.4840364390981674,0.48407195718933255,12.471184394917444,-0.46809189752704733
KruskallWallisFilter,Prostate_GSE6919_U95C,10,12646,20,0.38238353868749286,0.617616461312507,0.5455555555555557,0.5448357005825721,0.5449694432335233,22.566423526901772,-0.361232527682158
KruskallWallisFilter,Prostate_GSE6919_U95C,10,12646,50,0.5117720892199367,0.4882279107800634,0.6742222222222222,0.6729290427296143,0.6733106559508044,44.049825449957346,-0.16254596511868097
KruskallWallisFilter,Prostate_GSE6919_U95C,10,12646,100,0.5656534833512221,0.4343465166487779,0.721111111111111,0.7188881803850719,0.719764532049664,77.5292127646666,-0.013290115596785314
KruskallWallisFilter,Prostate_GSE6919_U95C,10,12646,200,0.6010164716442384,0.3989835283557617,0.75,0.7459826450265147,0.7477927470792489,138.26831834765284,0.1558301638390892
