name,selected,SupportVectorMachine_macro_f1,DecisionTree_macro_f1,RandomForest_macro_f1,NaiveBayes_macro_f1,ZeroR_macro_f1,MLP_macro_f1,SupportVectorMachine_macro_f1_std
Autoencoder,5,0.5424875360650299,0.5156274022736685,0.5436501378466728,0.4971609897548571,0.3373076376427949,0.44658287467122276,0.06591996347468469
Autoencoder,10,0.5710246482070167,0.5353853279635482,0.5773576916930294,0.5250681226158436,0.3373076376427949,0.46368277844208217,0.07020574906093528
Autoencoder,20,0.5944377202443901,0.5511336630976326,0.6081349329641321,0.5538561904517865,0.3373076376427949,0.49331883803511273,0.06925267670839637
Autoencoder,50,0.6358562969496198,0.5760000213013916,0.6513835347830292,0.5940057310640046,0.3373076376427949,0.5535267697286498,0.06633641661766342
Autoencoder,100,0.6685260596040781,0.5924271873798478,0.6776783342359604,0.6324799730362702,0.3373076376427949,0.5651103846957221,0.06941317985361958
Autoencoder,200,0.7032432432822745,0.603083822115363,0.7068758164837663,0.6706362225889891,0.3373076376427949,0.613115617321331,0.07320883215353
ChannelAttention,5,0.7010960765373906,0.6187877120168801,0.6843286077203037,0.6854754037108678,0.3373076376427949,0.6195700167122481,0.07019360475193412
ChannelAttention,10,0.7440111963948813,0.6642492948416495,0.7353967883161975,0.7320181805833631,0.3373076376427949,0.6669627270810737,0.07125643092930521
ChannelAttention,20,0.7890656610215536,0.6782107419260422,0.7807864593650299,0.7716177872354151,0.3373076376427949,0.7063570386125491,0.07018723953331572
ChannelAttention,50,0.8328914377471321,0.6916852325557342,0.8086383598830346,0.8117233804546446,0.3373076376427949,0.7621495188725688,0.06366521511397691
ChannelAttention,100,0.8489662679626322,0.6939883374395482,0.8222999241257967,0.830984519064603,0.3373076376427949,0.7778297482244538,0.06167466071011388
ChannelAttention,200,0.8572748314505723,0.6877373620518753,0.8219813671486492,0.8399794600129619,0.3373076376427949,0.8010882885678369,0.061163306546403846
IntegratedGradients,5,0.7058170489572293,0.6278048920652987,0.6866569815228896,0.7029773634539509,0.3373076376427949,0.605163547710661,0.07514202381973549
IntegratedGradients,10,0.7623073810114752,0.6726735447032631,0.750522634840403,0.7579647793598918,0.3373076376427949,0.6854316798696009,0.07221924940294822
IntegratedGradients,20,0.8087741601526791,0.6921047935400665,0.7910191783624921,0.7976511953556739,0.3373076376427949,0.7335043192778371,0.06699256002670378
IntegratedGradients,50,0.8401042175370156,0.7020405244087611,0.8114998501770044,0.8228873079387161,0.3373076376427949,0.784497836226203,0.06909924460015765
IntegratedGradients,100,0.8531109120373536,0.7012753623817525,0.8202115126501011,0.8332367005013195,0.3373076376427949,0.7788700300707563,0.06630398149850622
IntegratedGradients,200,0.8605822687520058,0.6931644814156057,0.8186376450782558,0.8387324816189139,0.3373076376427949,0.801455008760224,0.06524780346777008
KruskallWallisFilter,5,0.8093941665720653,0.7161800356696857,0.7916633800558548,0.8118761135875141,0.337307637642795,0.7292578933947553,0.08040980565174055
KruskallWallisFilter,10,0.8030525631188012,0.7129445525977806,0.7905411084308469,0.8008243799613856,0.337307637642795,0.7650288592630344,0.08001969118651221
KruskallWallisFilter,20,0.8007203316425069,0.7095859509281061,0.7911937988738413,0.7960385122047802,0.337307637642795,0.7783465970965696,0.0811110469302349
KruskallWallisFilter,50,0.800366918128496,0.7101074771251096,0.7945417136709084,0.7914927130583723,0.337307637642795,0.7420254276022451,0.08452361859513956
KruskallWallisFilter,100,0.7943245867332711,0.7086478593362435,0.788156070572912,0.7852323359610993,0.337307637642795,0.7422699103798086,0.08780695688044807
KruskallWallisFilter,200,0.7915510436101246,0.7021221629100591,0.7883919476809848,0.7844886183329309,0.337307637642795,0.7752483275655832,0.07708585470327795
Lasso,5,0.7166413637322439,0.633258824522114,0.6941706286554763,0.709363415682838,0.337307637642795,0.6242870549667296,0.06876952032059815
Lasso,10,0.7866543839488548,0.6862779405370296,0.7571893733998535,0.769735994676489,0.337307637642795,0.6150592697461571,0.06511393909064257
Lasso,20,0.8306645870193188,0.6937375986712359,0.8000435578477326,0.8040782015664437,0.337307637642795,0.5376951183035132,0.05983636492823917
Lasso,50,0.8612734382461814,0.690948660353793,0.8024791734839227,0.8212270208402944,0.337307637642795,0.6171936418900904,0.05565450136581245
Lasso,100,0.8706633016809763,0.6993537428740139,0.8078679529015382,0.8123881330284908,0.337307637642795,0.6981880192916308,0.05159967616130976
Lasso,200,0.8605602440528741,0.6798519051884505,0.7814238874502792,0.7806988297413605,0.337307637642795,0.7236115422569097,0.06370143404660585
RandomForest,5,0.7632450364432253,0.6971855065901953,0.75622778693091,0.7699215411758904,0.3373076376427949,0.6882500849957186,0.07968337930528764
RandomForest,10,0.7769055938673037,0.7120674903119567,0.7773121913384204,0.7780991393676263,0.3373076376427949,0.7418689813931072,0.07948361856599688
RandomForest,20,0.788617166629838,0.7159536396783918,0.7899218340358041,0.7864823026651585,0.3373076376427949,0.7476175566426906,0.07867232636389938
RandomForest,50,0.7872547960311215,0.7101318072856843,0.7890387265503528,0.7847277731663622,0.3373076376427949,0.7446565717888562,0.07991891680658622
RandomForest,100,0.7933055949651349,0.7142178034224989,0.7919418411888536,0.7879592671940405,0.3373076376427949,0.7363037509748964,0.08074299443432073
RandomForest,200,0.8109121926964267,0.7053161868872384,0.8019863781487526,0.7940509621503026,0.3373076376427949,0.7768999277516692,0.08259094866892781
SVMRFE,5,0.7425615780935811,0.6258352151380578,0.6954076333380677,0.7302381734704054,0.33899159663865547,0.549843161999508,0.06735493239808438
SVMRFE,10,0.8215150746424038,0.6709463131936813,0.7439119372798016,0.790783963896092,0.33899159663865547,0.5112802517421545,0.047976785898071715
SVMRFE,20,0.8858198093238957,0.6400937725466649,0.7967654430975778,0.8285116164815413,0.33899159663865547,0.3456253113036093,0.05387137337343001
SVMRFE,50,0.9059443503719411,0.593246363747311,0.8249416436359882,0.8327781553075767,0.33899159663865547,0.4710772763476076,0.05444535555910135
SVMRFE,100,0.9134643838720334,0.6464562041484239,0.8283825740203641,0.8623077702750799,0.33899159663865547,0.5047297901161697,0.056318528522443866
SVMRFE,200,0.9121797078008258,0.630357888294207,0.8146395437768436,0.8659463504059778,0.33899159663865547,0.4816246738968549,0.05789765805032516
Sensitivity,5,0.6822426053900469,0.6132758493922307,0.6724449612573881,0.6553396982897692,0.3373076376427949,0.5740287597244013,0.07333082329686476
Sensitivity,10,0.7364512136958027,0.6518534266275278,0.7308121641126931,0.7075963800307645,0.3373076376427949,0.6479888225776047,0.06966817350697334
Sensitivity,20,0.7885270552987237,0.682562872123731,0.78221198283015,0.7575216350382576,0.3373076376427949,0.7174234272914612,0.06650654896068457
Sensitivity,50,0.8354255790002206,0.6966255229073933,0.8144329079595939,0.8001354009840786,0.3373076376427949,0.7668778655051849,0.06239400479263986
Sensitivity,100,0.8582476868146448,0.7004359283923428,0.8250237409202793,0.8239432018429067,0.3373076376427949,0.7907992672614678,0.06150454747895142
