name,selected,executions,jaccard,hamming,dice,kuncheva,canberra,spearman,pearson,jaccard_std,kuncheva_std,spearman_std,pearson_std
Autoencoder,5,30,0.001277139208173691,0.9987228607918264,0.0022988505747126436,0.0019042215305605647,9.98029777390594,0.0018666025629612518,-0.9932170955018789,,,,
Autoencoder,10,30,0.0018148820326678765,0.9981851179673321,0.0034482758620689655,0.002659615111722391,19.93137972554591,0.002615007746107005,-0.9915196851945058,,,,
Autoencoder,20,30,0.0034312128685994384,0.9965687871314006,0.006666666666666667,0.00509319393843392,39.7291458821137,0.005040901092605502,-0.9876585883340544,,,,
Autoencoder,50,30,0.00672467606726913,0.9932753239327308,0.013241379310344829,0.00932442702116709,98.57356706849407,0.00928894244737072,-0.9799932984401322,,,,
Autoencoder,100,30,0.011567242723949512,0.9884327572760504,0.022758620689655173,0.014969354156016204,194.85995115093291,0.014929924046245123,-0.9690983245813594,,,,
Autoencoder,200,30,0.019069222109413527,0.9809307778905865,0.037321839080459766,0.02185215948991598,382.11001402105086,0.021851488949579147,-0.9527170167859953,,,,
ChannelAttention,5,30,0.0033205619412515963,0.9966794380587484,0.005977011494252875,0.005583837303719788,9.948844480553548,0.005539064846964666,-0.9934652343744461,,,,
ChannelAttention,10,30,0.004382604019627613,0.9956173959803724,0.008275862068965517,0.007491021820523736,19.853665228824816,0.007455541237969069,-0.990764081651483,,,,
ChannelAttention,20,30,0.006251511877646178,0.9937484881223538,0.012068965517241381,0.010504050208382264,39.56119805531851,0.010460572357237435,-0.9866105512424356,,,,
ChannelAttention,50,30,0.01292536709048513,0.9870746329095149,0.025011494252873565,0.021141263601289227,97.6580534254476,0.021086139217183438,-0.9726262728347002,,,,
ChannelAttention,100,30,0.020029221169738792,0.9799707788302612,0.038689655172413795,0.031027369624609023,192.42364562402798,0.0309969048256622,-0.9572365926448874,,,,
ChannelAttention,200,30,0.030987634721578793,0.9690123652784213,0.0591264367816092,0.04400714442714366,375.4451387999739,0.04403333288723091,-0.9342259534921271,,,,
